AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,EulerX,EulerY,EulerZ,q0,q1,q2,q3
0.21941699,0.030134,-0.993019,-5.1975,-0.38499996,6.20375,0.18018,-0.08218,1.0395,-175.02298,10.5422,-28.847685,0.019010382,0.9644682,-0.24394254,0.099658325
0.21941699,0.030134,-0.993019,-5.1975,-0.38499996,6.20375,0.17878,-0.078260005,1.04594,-175.09114,10.476405,-28.30448,0.0190501,0.9656701,-0.2394637,0.09887135
0.23076299,0.052033,-0.996618,-4.2612495,-1.5574999,4.7687497,0.17528,-0.07896,1.03488,-174.13512,10.427438,-27.745562,0.027701272,0.9666625,-0.23394905,0.10032018
0.23076299,0.052033,-0.996618,-4.2612495,-1.5574999,4.7687497,0.1764,-0.0833,1.04118,-174.17334,10.544969,-27.11477,0.027686499,0.9678662,-0.2285853,0.10108042
0.21484199,0.006588,-0.988444,-5.69625,-2.3624997,3.1062498,0.17584,-0.07784,1.0388,-176.15942,10.917682,-26.459764,0.010712498,0.9692302,-0.22458962,0.10018793
0.193187,0.005185,-0.99070096,-6.8162494,-4.7599998,3.7537496,0.18032001,-0.07336,1.03572,-176.65393,10.038658,-25.96741,0.008691481,0.9708574,-0.2212279,0.09175303
0.193187,0.005185,-0.99070096,-6.8162494,-4.7599998,3.7537496,0.1848,-0.077,1.03502,-176.62138,9.780204,-25.609945,0.009756939,0.9717154,-0.21827996,0.08959852
0.195932,0.060512,-0.973865,-8.89875,0.35875,3.325,0.18298,-0.07266,1.04146,-174.35968,9.109866,-25.20545,0.030557528,0.9724985,-0.21342397,0.08810888
0.195932,0.060512,-0.973865,-8.89875,0.35875,3.325,0.17892,-0.07756,1.0292801,-174.40915,9.144103,-24.637634,0.030508911,0.9735372,-0.20862117,0.08815672
0.204411,0.043615,-1.007659,-4.3312497,2.03875,0.72625,0.18312001,-0.077700004,1.02942,-175.24496,9.687824,-24.00316,0.0228883,0.9745378,-0.2035913,0.091119945
0.193309,0.012505,-1.02785,-0.2625,0.63874996,-0.17499998,0.18032001,-0.07588,1.03208,-176.76762,9.772411,-23.392221,0.010257696,0.97577673,-0.19955131,0.08907205
0.193309,0.012505,-1.02785,-0.2625,0.63874996,-0.17499998,0.17472,-0.07812,1.03012,-176.63687,9.702913,-23.011553,0.011789564,0.9764685,-0.19623469,0.088669814
0.189283,0.031842,-0.99064,-3.4474998,2.3362498,0.55125,0.18116,-0.07714,1.03222,-175.81198,9.530267,-22.63021,0.019416925,0.97711676,-0.19241959,0.08854674
0.189283,0.031842,-0.99064,-3.4474998,2.3362498,0.55125,0.1806,-0.07812,1.03698,-175.85963,9.557786,-22.180557,0.01931094,0.9778545,-0.18860838,0.08862601
0.213378,0.030744,-0.99917996,-4.8299994,3.2462497,1.5312499,0.18228,-0.078540005,1.02662,-175.5402,10.460681,-21.84453,0.020785606,0.9777284,-0.18506248,0.0967825
0.213378,0.030744,-0.99917996,-4.8299994,3.2462497,1.5312499,0.18200001,-0.07714,1.0353,-175.61095,10.7530365,-21.409136,0.0200688,0.978224,-0.18126659,0.099083506
0.21362199,0.030805,-0.99234796,-4.69,2.9837499,0.75249994,0.18298,-0.08274,1.03544,-175.51051,10.890492,-20.98525,0.021071434,0.9787669,-0.17749341,0.10033676
0.19953099,0.019825,-0.996557,-5.0137496,3.4299998,-0.51625,0.17934,-0.08134,1.03138,-176.16212,10.570143,-20.49159,0.016436616,0.97986937,-0.17398064,0.09652227
0.19953099,0.019825,-0.996557,-5.0137496,3.4299998,-0.51625,0.18074,-0.08624,1.03264,-176.07506,10.456836,-20.143436,0.0176499,0.9804637,-0.17097844,0.09563345
0.20435,0.022204,-1.009123,-4.97,3.5524998,-0.81374997,0.1806,-0.089600004,1.03572,-175.92802,10.501738,-19.817827,0.019111736,0.98088896,-0.16804923,0.09618253
0.20435,0.022204,-1.009123,-4.97,3.5524998,-0.81374997,0.18592,-0.08302,1.0396401,-176.11386,10.562119,-19.419687,0.017764114,0.9814526,-0.16477019,0.09636504
0.212524,0.035623997,-0.99173796,-5.95875,2.9924998,0.59499997,0.18550001,-0.082320005,1.0382401,-175.4206,10.825838,-19.118776,0.023568414,0.98155874,-0.16148083,0.09955388
0.211304,0.038491,-0.98942,-6.9999995,2.45875,1.5137498,0.18368,-0.087500006,1.0299801,-175.24194,10.844378,-18.794458,0.025354058,0.98195946,-0.15853778,0.099892735
0.211304,0.038491,-0.98942,-6.9999995,2.45875,1.5137498,0.18382001,-0.08078,1.0304,-175.40233,10.9036455,-18.410547,0.024229301,0.982475,-0.15535834,0.100097395
0.219539,0.039223,-0.991677,-6.4487495,1.5049999,1.3387499,0.1799,-0.08414,1.0351601,-175.24007,11.185164,-18.102926,0.025495503,0.9826357,-0.15244119,0.10265935
0.219539,0.039223,-0.991677,-6.4487495,1.5049999,1.3387499,0.18200001,-0.08834,1.0311,-175.20262,11.281017,-17.787355,0.025967354,0.9829678,-0.14965391,0.103458874
0.218258,0.036539,-0.996679,-5.6087494,1.0937499,0.97999996,0.18214001,-0.082600005,1.02592,-175.50641,11.286371,-17.407755,0.023695445,0.98352015,-0.1466679,0.10302972
0.209108,0.038735,-0.987651,-5.52125,1.2337499,0.17499998,0.18116,-0.08778,1.0311,-175.40181,10.979681,-17.068089,0.025304107,0.984169,-0.14380215,0.100459605
0.209108,0.038735,-0.987651,-5.52125,1.2337499,0.17499998,0.18704,-0.08624,1.0330601,-175.49216,10.929499,-16.71765,0.024900032,0.98466283,-0.14089382,0.09984002
0.222345,0.038186,-0.99246997,-5.2062497,1.6974999,0.08749999,0.18774,-0.0868,1.03012,-175.39505,11.430391,-16.42848,0.025348546,0.9845974,-0.1380902,0.10419389
0.222345,0.038186,-0.99246997,-5.2062497,1.6974999,0.08749999,0.18704,-0.090440005,1.03432,-175.35329,11.579634,-16.131187,0.025790911,0.9848212,-0.13542707,0.105458386
0.216611,0.041541,-0.992409,-5.3199997,1.995,-0.07,0.18522,-0.090440005,1.02438,-175.28616,11.389755,-15.810569,0.026896168,0.9853356,-0.1326993,0.10383279
0.216611,0.041541,-0.992409,-5.3199997,1.995,-0.07,0.18242,-0.085260004,1.03362,-175.4058,11.373817,-15.47452,0.02619061,0.9857613,-0.12992477,0.10348093
0.216306,0.040381998,-0.989847,-5.3549995,2.03875,-0.30624998,0.18270001,-0.086660005,1.03642,-175.43689,11.403584,-15.168847,0.026163843,0.9860873,-0.12730923,0.10363203
0.21142599,0.037637,-0.994239,-5.0662494,1.3649999,-0.60374993,0.18620001,-0.090160005,1.03908,-175.59993,11.208971,-14.862942,0.025261706,0.9866176,-0.124909565,0.10171053
0.21142599,0.037637,-0.994239,-5.0662494,1.3649999,-0.60374993,0.18354,-0.0889,1.036,-175.62065,11.167186,-14.598304,0.025365464,0.9869415,-0.12266739,0.1012702
0.218868,0.03721,-0.993141,-5.145,1.4962499,-0.33249998,0.18088001,-0.08792,1.03544,-175.57889,11.475811,-14.379256,0.02557357,0.9869144,-0.12060789,0.10392136
0.218868,0.03721,-0.993141,-5.145,1.4962499,-0.33249998,0.18312001,-0.08624,1.0344601,-175.64003,11.580293,-14.125414,0.025161998,0.9871062,-0.11843128,0.10470044
0.20617999,0.046177,-0.993019,-5.0574994,1.81125,-0.36749998,0.1813,-0.08764,1.03264,-175.38834,11.052489,-13.850267,0.028152399,0.9877578,-0.116068475,0.100350216
0.211548,0.038674,-0.99783796,-4.8125,1.6362499,-0.29749998,0.18270001,-0.087500006,1.0339,-175.70305,11.1698885,-13.599154,0.025534302,0.9879901,-0.11412898,0.10098645
0.211548,0.038674,-0.99783796,-4.8125,1.6362499,-0.29749998,0.1848,-0.08652,1.036,-175.73204,11.20754,-13.376053,0.025441518,0.9881864,-0.11221489,0.101232566
0.21331699,0.048861,-0.98832196,-5.2149997,1.7587498,-0.17499998,0.18550001,-0.086100005,1.0358601,-175.2863,11.282362,-13.167029,0.02939354,0.98822194,-0.1099839,0.10225937
0.21331699,0.048861,-0.98832196,-5.2149997,1.7587498,-0.17499998,0.18550001,-0.087220006,1.0344601,-175.30681,11.331421,-12.911587,0.02939502,0.98842996,-0.10777691,0.1025971
0.214354,0.040930998,-0.991921,-5.0137496,1.56625,-0.07,0.18648,-0.08848,1.03418,-175.63171,11.434973,-12.679608,0.026696824,0.98864084,-0.106022075,0.10312976
0.210206,0.044469,-0.993629,-4.7337494,1.8199998,-0.00875,0.18984,-0.08974,1.0358601,-175.52843,11.267561,-12.476842,0.027933959,0.9889398,-0.10425171,0.10173282
0.210206,0.044469,-0.993629,-4.7337494,1.8199998,-0.00875,0.18662001,-0.08946,1.0434201,-175.54922,11.236814,-12.280022,0.027958604,0.9891474,-0.10258451,0.10140088
0.218441,0.042578,-0.99100596,-4.585,1.6012499,0.23624998,0.18186,-0.08568,1.03544,-175.61209,11.596679,-12.112719,0.02722257,0.9890137,-0.10104396,0.10440832
0.218441,0.042578,-0.99100596,-4.585,1.6012499,0.23624998,0.18648,-0.08596,1.03124,-175.62962,11.70477,-11.930544,0.027136084,0.98908573,-0.099441946,0.10528195
0.21289,0.04514,-0.988993,-5.0137496,1.7937499,0.315,0.18396,-0.08596,1.0248001,-175.5477,11.524135,-11.745767,0.028179586,0.9893774,-0.09784859,0.10374978
0.21289,0.04514,-0.988993,-5.0137496,1.7937499,0.315,0.18270001,-0.08918,1.03628,-175.51076,11.482464,-11.589821,0.028677609,0.9895352,-0.096486405,0.10338288
0.217404,0.044469,-0.98801696,-4.2874994,2.065,0.22749998,0.18508,-0.089880005,1.03152,-175.52426,11.684876,-11.445859,0.028508844,0.98948866,-0.09516932,0.10508214
0.221491,0.041602,-0.993446,-4.2174997,2.03875,-0.105,0.1813,-0.08624,1.03992,-175.70447,11.89147,-11.273042,0.026928084,0.9894974,-0.09375697,0.10667431
0.221491,0.041602,-0.993446,-4.2174997,2.03875,-0.105,0.18298,-0.08218,1.03418,-175.7871,11.959708,-11.084881,0.026330218,0.9896099,-0.09218127,0.10715238
0.21276799,0.0427,-0.989298,-4.1037498,1.65375,-0.29749998,0.18522,-0.082880005,1.03768,-175.80974,11.658466,-10.878908,0.026584612,0.99003917,-0.09054431,0.10448658
0.21276799,0.0427,-0.989298,-4.1037498,1.65375,-0.29749998,0.18032001,-0.08568,1.0325,-175.74826,11.578957,-10.72979,0.027318958,0.99020916,-0.089231886,0.10381321
0.208864,0.030683,-0.99246997,-4.0074997,1.9512498,-0.63874996,0.18270001,-0.08498,1.0311,-176.3037,11.488265,-10.555367,0.022751223,0.9905421,-0.088259116,0.10256164
0.217404,0.03477,-1.0059509,-2.6949997,2.205,0.14874999,0.18018,-0.07994,1.0344601,-176.23457,11.67389,-10.458424,0.023283526,0.9904447,-0.08729161,0.10419863
0.217404,0.03477,-1.0059509,-2.6949997,2.205,0.14874999,0.1764,-0.08372,1.03124,-176.1576,11.726538,-10.381179,0.023976166,0.99044216,-0.08653445,0.10469584
0.215025,0.041479997,-0.995093,-3.9112499,2.1087499,-0.035,0.18074,-0.086100005,1.03124,-175.81314,11.682441,-10.302932,0.02706069,0.9904622,-0.085560545,0.104556166
0.215025,0.041479997,-0.995093,-3.9112499,2.1087499,-0.035,0.1813,-0.08652,1.0318,-175.83412,11.6817045,-10.186706,0.026985941,0.9905539,-0.0845753,0.10450683
0.21874599,0.039284,-0.984357,-5.0574994,1.6362499,0.19249998,0.17920001,-0.085820004,1.03348,-175.84288,11.916811,-10.107341,0.026795276,0.9904109,-0.08380494,0.10651258
0.2135,0.036844,-0.99472696,-4.41,1.5312499,0.16624999,0.18256001,-0.0854,1.03628,-176.05957,11.712731,-9.984765,0.025196621,0.99072635,-0.0830233,0.10456404
0.2135,0.036844,-0.99472696,-4.41,1.5312499,0.16624999,0.18298,-0.08792,1.04286,-176.01628,11.65415,-9.919937,0.025675671,0.9908138,-0.082445405,0.10407471
0.21295099,0.035868,-0.997045,-3.73625,1.3299999,0,0.18592,-0.082880005,1.0389401,-176.19968,11.611587,-9.80142,0.024230218,0.99097496,-0.08160245,0.1035498
0.21295099,0.035868,-0.997045,-3.73625,1.3299999,0,0.18032001,-0.086100005,1.03152,-176.11052,11.596566,-9.746734,0.02506227,0.99100745,-0.08105446,0.103471495
0.21703799,0.035685,-0.994483,-4.235,1.7587498,-0.043749996,0.18172,-0.089320004,1.0358601,-176.0193,11.787805,-9.718174,0.025730368,0.9908429,-0.080653235,0.10518226
0.21703799,0.035685,-0.994483,-4.235,1.7587498,-0.043749996,0.17920001,-0.08834,1.03656,-176.03937,11.844595,-9.665512,0.02556194,0.990835,-0.080195025,0.10564713
0.212707,0.038002998,-0.99637395,-4.6112494,1.7412499,-0.09624999,0.18424,-0.08036,1.0361401,-176.14165,11.669559,-9.534673,0.024929533,0.9911,-0.07922186,0.10403437
0.20837599,0.036844,-0.986919,-4.9437494,1.7237499,-0.30624998,0.1813,-0.08414,1.02704,-176.09058,11.530637,-9.45447,0.02554772,0.9912627,-0.0785329,0.10285094
